name,rating,rating_values,reviews,jobs,interviews
Maveric Systems,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",776,5,131
Wipro Consumer Care & Lighting,3.7,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",776,10,75
BDO,3.2,"Promotions / Appraisal, Company Culture, Work Satisfaction",776,--,54
Careernet,3.5,"Promotions / Appraisal, Work Satisfaction, Job Security",775,--,48
Franklin Templeton Investments,3.9,"Work Life Balance, Company Culture",775,72,32
Indo Autotech,3.9,"Salary & Benefits, Skill Development / Learning",774,1,52
Rallis India,4.1,"Job Security, Work Life Balance, Company Culture",774,1,44
Microtek International,3.8,"Promotions / Appraisal, Salary & Benefits, Company Culture",774,1,52
Waaree Energies,4.0,"Salary & Benefits, Work Life Balance, Job Security",773,24,74
Pratap Technocrats,3.8,"Promotions / Appraisal, Salary & Benefits",772,4,34
Jai Balaji Group,3.2,"Promotions / Appraisal, Salary & Benefits, Company Culture",770,--,53
Cohance Lifesciences,3.8,Work Life Balance,916,6,41
AISIN,4.1,"Work Life Balance, Company Culture, Job Security",769,--,55
Aequs,3.4,"Promotions / Appraisal, Job Security, Company Culture",769,27,55
Credence Resource Management,3.0,"Promotions / Appraisal, Company Culture, Skill Development / Learning",768,40,36
Amber Enterprises India,3.9,Skill Development / Learning,767,10,56
Toyo Engineering,4.0,"Company Culture, Job Security, Skill Development / Learning",767,--,60
Somany Ceramics,4.2,"Work Life Balance, Company Culture, Job Security",765,15,26
Ask Automotive,4.2,"Job Security, Work Life Balance, Salary & Benefits",765,--,36
Vastu Housing Finance,4.2,"Company Culture, Work Life Balance, Salary & Benefits",765,11,56
Action Construction Equipment,3.7,"Promotions / Appraisal, Job Security, Company Culture",764,1,72
Reliance BP Mobility,3.6,Job Security,764,4,73
Better.com,3.0,Salary & Benefits,763,34,56
Denave,3.5,"Promotions / Appraisal, Job Security, Skill Development / Learning",763,53,45
Progressive Infotech,3.3,"Promotions / Appraisal, Company Culture, Work Satisfaction",763,14,42
Reliance Smart,4.1,"Job Security, Company Culture, Skill Development / Learning",762,--,35
First Advantage,3.5,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",762,63,32
Wipro Infrastructure Engineering,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture",762,10,62
Lea Associates South Asia,4.3,"Work Life Balance, Company Culture, Work Satisfaction",763,--,31
Allied Digital Services,3.2,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",761,2,65
Quatrro Business Support Services,3.3,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",756,21,60
Creambell,3.9,Salary & Benefits,759,3,44
Creative Synergies Group,4.0,"Work Life Balance, Salary & Benefits, Company Culture",760,8,30
Ramkrishna Forgings,3.4,"Promotions / Appraisal, Company Culture, Work Satisfaction",760,--,64
Hitachi Digital Services,3.5,"Promotions / Appraisal, Work Satisfaction, Company Culture",759,202,68
Ksb Pumps,3.8,Job Security,758,102,55
Simplilearn,3.2,"Promotions / Appraisal, Work Satisfaction, Job Security",758,78,114
Travel Food Services Ltd,4.0,"Job Security, Work Life Balance, Company Culture",758,--,47
Novac Technology Solutions,3.7,Job Security,758,62,74
Dineshchandra R. Agrawal Infracon,4.0,"Job Security, Salary & Benefits, Work Life Balance",758,16,59
Radical Minds,2.9,"Promotions / Appraisal, Job Security, Salary & Benefits",758,8,65
Axtria,2.8,"Work Satisfaction, Company Culture, Work Life Balance",757,145,134
Hilti,3.4,"Promotions / Appraisal, Work Satisfaction, Job Security",756,16,70
People Tech Group,2.4,"Job Security, Promotions / Appraisal, Salary & Benefits",756,26,85
Fleetguard Filters Private Limited,4.3,"Salary & Benefits, Company Culture, Work Life Balance",756,20,51
Dunzo,3.5,"Job Security, Promotions / Appraisal, Company Culture",756,--,71
JioStar,3.5,"Promotions / Appraisal, Job Security, Work Satisfaction",755,292,63
Forvia Hella,3.9,Work Life Balance,753,92,49
Central Industrial Security Force,4.3,"Job Security, Salary & Benefits, Skill Development / Learning",753,--,24
Central Industrial Security Force,4.3,"Job Security, Salary & Benefits, Skill Development / Learning",753,--,24
1 India Family Mart,4.6,"Company Culture, Work Life Balance, Work Satisfaction",753,3,39
Times Internet,3.4,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",751,7,73
BNP Paribas India Solutions,3.6,"Job Security, Work Life Balance",751,2,76
Assystem,3.3,"Promotions / Appraisal, Company Culture, Job Security",750,312,49
Universal Sompo General Insurance,4.4,"Company Culture, Work Life Balance, Work Satisfaction",753,1,142
Bses Rajdhani Power,3.8,"Job Security, Work Life Balance",750,2,56
Alivus Life Sciences,3.8,Job Security,749,9,41
HSBC Software Development,4.1,"Work Life Balance, Company Culture, Work Satisfaction",748,--,27
Orion Edutech,3.1,"Promotions / Appraisal, Job Security, Salary & Benefits",748,--,22
Brane Enterprises,2.1,"Job Security, Company Culture, Work Satisfaction",748,--,150
Samsung E&A,4.0,"Salary & Benefits, Job Security, Work Life Balance",747,--,72
Amadeus,3.7,"Work Life Balance, Job Security",747,14,124
BCD Travel,4.3,"Work Life Balance, Job Security, Company Culture",747,28,147
CADD Centre Training Services,3.9,Skill Development / Learning,747,6,38
McDermott International,4.2,"Company Culture, Work Life Balance, Salary & Benefits",746,41,63
Ugro Capital,3.7,Salary & Benefits,746,2,44
Wapcos,3.3,"Promotions / Appraisal, Job Security, Salary & Benefits",745,--,38
Finolex Cables,3.7,Job Security,744,12,44
Bunge India,4.0,"Job Security, Salary & Benefits, Work Life Balance",743,179,50
Zee Entertainment Enterprises,3.4,"Promotions / Appraisal, Job Security, Company Culture",741,57,54
JM Financial,3.8,Work Life Balance,741,13,58
Hapag-Lloyd,3.8,"Job Security, Company Culture, Work Life Balance",740,8,29
Vaaman Engineers,3.8,Promotions / Appraisal,740,17,69
SLK Global Services,3.9,Company Culture,739,--,34
CMS Computers Limited (INDIA),3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",739,25,42
National Informatics Centre,3.9,Work Life Balance,739,--,42
Wabtec,3.9,"Job Security, Work Life Balance",740,160,61
Sharda Motor Industries,3.8,Job Security,739,28,51
VA Tech Wabag,3.8,Job Security,738,13,59
Veradigm,3.8,Work Life Balance,738,43,43
India Japan Lighting,4.1,"Company Culture, Work Life Balance, Job Security",738,--,63
India Cements,3.8,"Job Security, Work Life Balance",737,--,52
Bitwise Solutions,3.7,"Company Culture, Work Life Balance",736,1,57
Integreon,3.2,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",736,51,56
Galfar,3.9,"Work Life Balance, Job Security, Company Culture",735,--,32
Livguard,3.9,Promotions / Appraisal,735,--,45
ManipalCigna Health Insurance,3.7,Promotions / Appraisal,734,101,43
TO THE NEW,3.6,"Promotions / Appraisal, Work Satisfaction",734,41,152
OLX India,3.7,"Salary & Benefits, Work Life Balance",734,12,67
Patel Infrastructure Limited,4.2,"Company Culture, Work Life Balance, Work Satisfaction",734,16,46
ManipalCigna Health Insurance,3.7,Promotions / Appraisal,734,101,43
Primus Global Technologies,3.7,Work Life Balance,734,7,24
TO THE NEW,3.6,"Promotions / Appraisal, Work Satisfaction",736,41,152
UnitedLex,2.7,"Promotions / Appraisal, Job Security, Salary & Benefits",732,40,72
Indusind Marketing & Financial Services,3.7,"Promotions / Appraisal, Salary & Benefits",730,--,32
Mott MacDonald,4.0,"Work Life Balance, Company Culture, Salary & Benefits",730,232,56
Exicom,4.0,"Company Culture, Work Life Balance, Job Security",729,12,57
Steel Authority Of India,4.0,"Job Security, Work Life Balance, Work Satisfaction",729,--,46
Vertex Customer Solutions,3.6,"Work Satisfaction, Salary & Benefits, Job Security",729,--,15
EMERSON PROCESS MANAGEMENT,4.1,"Company Culture, Work Life Balance, Job Security",730,--,63
LifeCell International,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction",728,37,52
Religare,3.6,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",727,23,33
Greenply,3.8,Salary & Benefits,727,16,56
Isuzu Motors,4.1,"Company Culture, Job Security, Skill Development / Learning",726,1,53
GirnarSoft,3.6,"Promotions / Appraisal, Job Security, Work Satisfaction",725,11,35
Deepak Nitrite,4.0,"Job Security, Work Life Balance",725,16,52
Lavender Technology,4.9,"Company Culture, Promotions / Appraisal, Skill Development / Learning",724,--,4
Celebal Technologies,3.0,"Job Security, Promotions / Appraisal, Company Culture",723,22,130
ffreedom app,3.5,"Job Security, Work Satisfaction, Company Culture",723,--,64
Celebal Technologies,3.0,"Job Security, Promotions / Appraisal, Company Culture",723,22,130
Smollan Group,3.9,"Company Culture, Work Life Balance",723,13,46
ffreedom app,3.5,"Job Security, Work Satisfaction, Company Culture",723,--,64
Care Hospital,4.1,"Job Security, Skill Development / Learning, Company Culture",723,67,34
ASG Eye Hospital,3.4,"Promotions / Appraisal, Company Culture, Work Satisfaction",722,148,61
Sun Life Financial,3.8,"Job Security, Work Life Balance, Company Culture",722,131,53
Rackspace,3.7,"Work Life Balance, Company Culture, Salary & Benefits",721,3,84
The Akshaya Patra Foundation,4.4,"Company Culture, Work Life Balance, Work Satisfaction",720,11,59
Lenovo,4.0,"Company Culture, Work Life Balance, Job Security",719,15,52
Boeing,3.8,Work Life Balance,719,40,100
DuPont,4.2,"Company Culture, Work Life Balance, Job Security",718,8,45
Neuland Laboratories,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",718,7,51
Adidas,3.9,"Work Life Balance, Salary & Benefits",717,28,83
Padget Electronics,3.9,Skill Development / Learning,716,--,78
Stellantis,3.4,"Promotions / Appraisal, Job Security, Company Culture",717,2,63
V-Trans,3.8,Job Security,714,--,34
Google Operations Center,3.6,Work Life Balance,714,--,98
Writer Information Management Services,3.1,"Promotions / Appraisal, Salary & Benefits, Job Security",714,--,38
McKinsey & Company,3.8,Company Culture,712,7,246
Ascendion,3.4,"Promotions / Appraisal, Job Security, Work Satisfaction",711,113,119
Expleo Solutions,3.5,"Promotions / Appraisal, Salary & Benefits, Job Security",710,13,73
RITES,3.9,"Work Life Balance, Work Satisfaction, Skill Development / Learning",710,12,39
XcelServ Solutions,4.4,"Work Life Balance, Company Culture, Work Satisfaction",708,--,11
Molex,3.9,"Company Culture, Work Life Balance",709,8,68
Ag Industries,3.9,"Work Life Balance, Job Security, Work Satisfaction",708,--,54
BDO India LLP,3.3,"Promotions / Appraisal, Salary & Benefits, Company Culture",707,94,89
TDK India Private Limited,3.9,"Work Life Balance, Job Security, Skill Development / Learning",707,--,46
Biba Apparels,3.6,"Promotions / Appraisal, Company Culture, Salary & Benefits",706,--,49
Sterlite Power,4.1,"Salary & Benefits, Company Culture, Work Life Balance",706,33,37
NecLife,3.6,Job Security,705,3,62
Transrail Lighting,4.0,"Job Security, Salary & Benefits, Work Life Balance",705,1,57
Nvidia,3.5,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",704,181,129
uFaber,2.2,"Promotions / Appraisal, Job Security, Salary & Benefits",704,--,54
Volkswagen Group Technology Solution,3.9,"Work Life Balance, Job Security, Company Culture",703,66,76
Mindsprint,3.6,"Promotions / Appraisal, Work Satisfaction",704,17,68
LG Soft India,2.9,"Promotions / Appraisal, Company Culture, Work Satisfaction",703,--,109
AI Airport Services,3.3,"Promotions / Appraisal, Company Culture, Work Satisfaction",703,--,45
Sykes Business Services Of India,3.4,"Promotions / Appraisal, Salary & Benefits, Company Culture",703,14,53
Mitsubishi Electric India,4.2,"Work Life Balance, Company Culture, Job Security",702,5,44
TCNS Clothing Company,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",699,--,27
Aurigo Software Technologies,4.6,"Company Culture, Work Life Balance, Work Satisfaction",700,19,35
B. G. Shirke Construction Technology,4.2,"Job Security, Company Culture, Work Life Balance",700,9,42
Samunnati,4.5,"Company Culture, Work Life Balance, Work Satisfaction",700,2,84
BSH Home Appliances Group,3.9,"Work Life Balance, Company Culture, Salary & Benefits",699,9,39
Medreich,3.9,Job Security,698,4,58
Bikanervala,3.9,"Work Life Balance, Job Security",698,--,28
LEAP India Limited,4.6,"Work Life Balance, Skill Development / Learning, Salary & Benefits",698,7,31
Electrosteel Casting,3.7,"Job Security, Work Life Balance",696,5,54
Tavant Technologies,3.8,"Company Culture, Work Life Balance",697,32,81
Office Beacon,4.6,"Company Culture, Job Security, Skill Development / Learning",696,9,68
Turtlemint,3.6,"Promotions / Appraisal, Job Security, Work Satisfaction",696,12,52
Redcliffe Labs,3.9,"Salary & Benefits, Work Life Balance, Skill Development / Learning",695,19,60
Rentokil Pest Control,3.6,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",695,308,42
Delta Electronics,3.9,"Work Life Balance, Job Security",695,7,64
Evision Technoserve,4.7,"Company Culture, Work Life Balance, Work Satisfaction",694,--,274
Eugia Pharma Specialities,4.0,"Job Security, Salary & Benefits, Work Life Balance",694,--,43
Bristlecone,3.6,Work Life Balance,694,87,67
Home First Finance Company India,3.5,Salary & Benefits,692,304,65
Genus Power Infrastructures,3.9,"Job Security, Work Life Balance, Skill Development / Learning",692,--,68
Raychem RPG,3.7,"Promotions / Appraisal, Work Satisfaction, Job Security",691,2,31
Koch Business Solutions,3.2,"Promotions / Appraisal, Job Security, Work Satisfaction",692,--,67
Mynd Solutions Private,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",690,--,34
Bahwan CyberTek,3.4,"Promotions / Appraisal, Job Security, Company Culture",690,99,53
URC Construction,3.7,"Promotions / Appraisal, Company Culture, Work Life Balance",689,1,68
Ramky Infrastructure,4.2,"Job Security, Salary & Benefits, Company Culture",687,--,51
Amrit Cement,3.9,"Work Life Balance, Skill Development / Learning",690,21,79
Gartner,3.8,"Work Life Balance, Company Culture",688,63,96
Embibe,3.4,"Job Security, Promotions / Appraisal, Company Culture",687,--,61
Apple,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",687,241,165
Visteon,3.2,"Work Life Balance, Company Culture, Promotions / Appraisal",687,29,60
Thriveni Earthmovers,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",687,--,59
Razorpay,3.4,"Promotions / Appraisal, Work Satisfaction, Job Security",688,46,172
ExportersIndia,4.9,"Company Culture, Work Life Balance, Work Satisfaction",686,5,32
Toppr,3.4,"Job Security, Promotions / Appraisal, Work Life Balance",685,--,66
Kurlon,4.3,"Work Life Balance, Company Culture, Salary & Benefits",685,--,37
HSBC Bank,3.9,"Job Security, Company Culture, Work Life Balance",685,1,41
Csc E Governance Services,3.8,Work Life Balance,685,9,46
Bharat Serums and Vaccines,4.0,"Company Culture, Work Life Balance",684,9,31
Goodyear,3.5,"Promotions / Appraisal, Company Culture, Work Satisfaction",684,10,73
Eastman Auto and Power Limited,3.9,"Salary & Benefits, Company Culture, Work Life Balance",684,18,94
HRH Next Services,2.9,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",684,10,52
Eastman Auto and Power Limited,3.9,"Salary & Benefits, Company Culture, Work Life Balance",684,18,94
Transsion,3.9,"Work Life Balance, Company Culture, Work Satisfaction",683,1,39
Asb International,3.6,"Job Security, Skill Development / Learning",682,--,32
R.V.R. PROJECTS,3.9,Salary & Benefits,681,20,68
Titan Eye Plus,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",681,--,35
Diebold Nixdorf,3.6,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",681,37,55
North East Small Finance Bank,3.6,"Promotions / Appraisal, Job Security, Company Culture",681,6,29
Doosan Power Systems,4.3,"Company Culture, Work Life Balance, Work Satisfaction",681,--,44
Vindhya Telelinks,4.0,"Salary & Benefits, Work Life Balance",680,1,47
Micro Turners,3.8,"Promotions / Appraisal, Salary & Benefits",679,2,36
Bayer Crop Science Vegetable Seeds,4.1,"Work Life Balance, Company Culture, Work Satisfaction",679,--,38
Caparo Engineering India,4.0,"Work Life Balance, Work Satisfaction, Job Security",679,--,34
Healthians,4.2,"Company Culture, Work Life Balance, Work Satisfaction",679,1,144
Moglix,3.3,"Job Security, Promotions / Appraisal, Work Satisfaction",679,41,65
Orient Cement,4.4,"Company Culture, Work Life Balance, Job Security",678,--,48
NSB Bpo Solutions,2.9,"Promotions / Appraisal, Salary & Benefits, Job Security",678,--,35
Flash Electronics,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",678,--,36
Cotiviti,3.6,"Promotions / Appraisal, Work Satisfaction, Job Security",678,24,88
Bisk Farm,4.0,"Work Life Balance, Job Security, Skill Development / Learning",676,11,29
TTK Prestige,3.8,Job Security,675,7,48
Trianz,3.4,"Job Security, Promotions / Appraisal, Company Culture",675,30,61
Radico Khaitan,4.1,"Job Security, Work Life Balance, Company Culture",675,1,64
Infor Global Solution,3.9,"Work Life Balance, Job Security, Company Culture",675,2,84
Cohesity,3.9,"Work Life Balance, Company Culture, Salary & Benefits",675,19,86
Patel Engineering,4.1,"Job Security, Work Life Balance, Work Satisfaction",674,1,45
Ness Digital Engineering,3.4,"Promotions / Appraisal, Job Security, Work Satisfaction",674,32,68
IHG,3.6,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",673,35,39
TVS Electronics,3.7,Work Life Balance,673,3,31
Wuerth,3.5,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",672,14,46
Livpure,3.9,Promotions / Appraisal,672,16,40
Writer Corporation,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",673,44,35
Neeyamo Enterprise Solutions,3.5,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",672,9,68
Medtronic,3.9,"Company Culture, Work Life Balance, Salary & Benefits",672,262,79
Testbook.com,3.4,"Job Security, Promotions / Appraisal, Work Life Balance",672,--,107
Government of India,4.2,"Job Security, Work Life Balance, Work Satisfaction",671,--,64
Wolters Kluwer,3.8,"Work Life Balance, Job Security",671,93,94
Central Bank of India,3.9,Skill Development / Learning,671,--,42
CtrlS,3.6,Salary & Benefits,671,4,54
VRL Logistics,3.7,"Promotions / Appraisal, Job Security, Skill Development / Learning",672,1,25
PPG Asian Paints,3.9,"Job Security, Salary & Benefits",670,--,45
Keventer,3.8,"Work Life Balance, Job Security",670,6,34
Tredence,3.4,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",670,111,148
Solv,3.5,Salary & Benefits,670,2,44
Snapdeal,3.8,"Company Culture, Work Life Balance",670,28,76
NextComm Corporation,4.8,"Work Life Balance, Company Culture, Work Satisfaction",669,--,6
Quess IT Staffing Solutions,3.1,"Promotions / Appraisal, Work Satisfaction, Job Security",670,--,43
Blue Yonder,3.6,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",669,108,68
Y-Axis Overseas Careers,3.8,Skill Development / Learning,667,10,66
BASF,4.2,"Work Life Balance, Company Culture, Work Satisfaction",667,6,35
PrimEra Medical Technologies,3.6,Job Security,667,42,71
Vizag Steel,4.0,"Work Life Balance, Job Security, Work Satisfaction",666,--,36
Surya Roshni,4.1,"Work Life Balance, Job Security, Company Culture",666,--,21
DAV Public School,4.0,Skill Development / Learning,667,--,35
ChannelPlay,3.8,Work Life Balance,665,100,29
Future Supply Chain Solutions,4.3,"Company Culture, Work Satisfaction, Skill Development / Learning",665,--,22
Nomura Holdings,3.7,Job Security,666,270,75
Nephroplus,3.8,"Work Life Balance, Skill Development / Learning",665,68,50
L&T Power,3.9,"Job Security, Skill Development / Learning",665,--,37
Rane NSK Steering Systems,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",664,--,41
Redington,4.0,"Job Security, Company Culture, Work Life Balance",664,1,37
Autoliv,4.0,"Company Culture, Job Security, Salary & Benefits",664,--,41
Quislex Legal Services,4.0,"Company Culture, Work Life Balance, Work Satisfaction",664,2,38
Jubilant Ingrevia,3.8,"Work Life Balance, Job Security",666,--,51
Lohia Corp,4.0,"Job Security, Skill Development / Learning, Company Culture",665,2,74
Dodla Dairy,4.2,"Job Security, Company Culture, Work Life Balance",664,9,43
Bridgestone - Global Capability Center,4.0,"Company Culture, Work Life Balance, Job Security",663,20,48
Emami Agrotech,3.9,"Work Life Balance, Job Security",664,--,43
SG Analytics,2.6,"Promotions / Appraisal, Work Satisfaction, Job Security",662,17,81
YOKOGAWA,3.8,Job Security,662,104,59
JSW Energy,4.1,"Job Security, Salary & Benefits, Work Life Balance",662,--,53
Dhanuka Agritech,3.7,"Promotions / Appraisal, Work Satisfaction",661,2,48
ReSource Pro,3.8,Na,661,30,125
EPL Limited,3.8,"Job Security, Skill Development / Learning",660,--,29
Orient Technologies,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",660,16,49
Housing.com,3.6,Salary & Benefits,660,27,78
Kutumbh Care,4.0,"Work Life Balance, Work Satisfaction, Company Culture",659,--,33
Lionbridge Technologies,3.6,Work Life Balance,659,2,50
Osource Global,3.5,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",659,14,27
R.S. Infraprojects,4.0,"Work Life Balance, Job Security, Company Culture",658,5,38
Technotask Business Solutions,3.6,"Promotions / Appraisal, Salary & Benefits, Job Security",670,12,63
TransUnion,3.6,Work Life Balance,657,34,102
Leverage Edu,4.1,"Salary & Benefits, Company Culture, Skill Development / Learning",657,29,67
Mahindra Integrated Business Solutions,3.4,"Promotions / Appraisal, Work Satisfaction, Job Security",655,5,44
Cogoport,3.2,"Job Security, Company Culture, Promotions / Appraisal",655,8,56
MPS Limited,3.5,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",655,14,37
Videocon d2h,3.8,"Skill Development / Learning, Company Culture, Work Life Balance",654,--,30
Triveni Engineering & Industries,4.1,"Job Security, Work Life Balance, Salary & Benefits",655,2,48
Capco Technologies,3.7,Work Life Balance,654,156,89
Saint Gobain Glass,3.8,"Job Security, Company Culture, Skill Development / Learning",653,--,31
Qatar Airways,3.5,Salary & Benefits,652,24,72
Progressive Infovision,3.8,Work Life Balance,653,--,45
Optimum Infosystem,3.3,"Job Security, Promotions / Appraisal, Skill Development / Learning",651,28,57
Omaxe,4.2,"Work Life Balance, Salary & Benefits, Company Culture",650,3,39
PeopleStrong,3.4,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",650,--,54
Licious,3.7,"Promotions / Appraisal, Job Security, Salary & Benefits",650,10,75
Ingram Micro,3.6,"Promotions / Appraisal, Work Satisfaction, Job Security",649,--,32
Corteva Agriscience,4.2,"Company Culture, Work Life Balance, Job Security",650,5,39
Sandvik Asia,4.0,"Company Culture, Work Life Balance, Job Security",649,--,33
Epicenter Technologies,3.3,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",647,3,42
Tejas Networks,3.8,Promotions / Appraisal,647,--,88
Kissht Finance,3.9,"Salary & Benefits, Work Life Balance",646,31,64
Neurealm,3.4,"Promotions / Appraisal, Job Security, Work Satisfaction",646,59,76
JoulestoWatts Business Solutions,3.5,"Promotions / Appraisal, Job Security, Company Culture",645,3,78
Vasudha Pharma Chem,4.0,"Company Culture, Work Life Balance, Job Security",645,2,33
PCBL Chemical Limited,3.9,"Salary & Benefits, Job Security, Skill Development / Learning",644,12,72
HCL Healthcare,4.6,"Company Culture, Work Life Balance, Work Satisfaction",644,14,162
Wissen Infotech,3.6,"Job Security, Promotions / Appraisal, Skill Development / Learning",644,130,61
Marlabs,3.5,Work Life Balance,643,--,40
SMC Global Securities,3.4,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",643,10,54
TIAA Global Business Services,3.7,"Work Life Balance, Salary & Benefits",643,5,52
Welspun World,3.6,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",643,105,58
Elite Elevators,4.1,"Salary & Benefits, Work Satisfaction, Skill Development / Learning",642,1,50
Indorama,4.0,"Job Security, Company Culture, Work Life Balance",640,3,41
BankBazaar,3.3,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",641,12,61
DeHaat,3.6,"Job Security, Promotions / Appraisal",641,11,65
Data Entry,4.2,"Company Culture, Work Satisfaction, Skill Development / Learning",641,5,126
Petpooja,3.8,Company Culture,641,69,64
Alshaya Group,3.7,Work Life Balance,640,--,48
Krsnaa Diagnostics,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",640,10,46
TCI Express,3.9,"Job Security, Work Life Balance, Skill Development / Learning",640,--,46
CJ Darcl Logistics Limited,4.0,"Company Culture, Work Life Balance, Job Security",640,2,44
Magic Edtech,3.6,"Promotions / Appraisal, Job Security, Salary & Benefits",639,10,82
Fiat India Automobiles,3.6,"Promotions / Appraisal, Company Culture, Work Life Balance",638,2,44
Sintex BAPL,3.6,Salary & Benefits,638,--,37
My Home Industries,4.0,"Company Culture, Work Life Balance, Job Security",639,--,44
Tata Power Delhi Distribution,3.7,"Job Security, Work Life Balance",637,7,34
Yatra,3.2,"Promotions / Appraisal, Skill Development / Learning, Company Culture",637,1,36
Quality Austria Central Asia,3.4,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",637,17,26
Centaur Pharmaceuticals,3.5,"Promotions / Appraisal, Company Culture, Work Satisfaction",636,2,33
Nihilent,3.2,"Promotions / Appraisal, Job Security, Work Satisfaction",635,36,65
Forbes Marshall,3.9,"Job Security, Company Culture, Skill Development / Learning",635,23,46
CSC,3.5,Work Life Balance,635,66,66
Uno Mindarika,4.0,"Job Security, Skill Development / Learning",634,--,49
Times Group,3.7,Work Life Balance,633,14,33
Talentpro,3.8,Promotions / Appraisal,633,79,33
Pennar Industries,3.4,"Promotions / Appraisal, Salary & Benefits, Company Culture",631,3,36
Shivalik Small Finance Bank,3.8,Skill Development / Learning,631,6,62
The Lalit,3.5,"Promotions / Appraisal, Salary & Benefits, Job Security",631,14,26
Inspirisys Solution,3.7,"Promotions / Appraisal, Salary & Benefits",631,49,60
NICE,3.5,"Promotions / Appraisal, Work Satisfaction, Job Security",631,47,99
Encore Capital Group,3.9,"Company Culture, Work Life Balance, Job Security",630,--,36
Carrier,3.7,Work Life Balance,629,1,54
Ramboll,4.0,"Company Culture, Work Life Balance, Job Security",629,55,46
ICA Edu Skills,3.9,"Work Life Balance, Skill Development / Learning",629,6,41
Magic Bus India Foundation,3.8,"Promotions / Appraisal, Job Security",628,26,44
GKN,3.8,Work Life Balance,627,23,35
Narayana e-Techno School,3.6,Skill Development / Learning,630,--,52
Ferrero,3.9,"Salary & Benefits, Skill Development / Learning, Job Security",627,15,31
Continental,3.6,Work Life Balance,627,48,58
Philips Innovation Campus,3.7,Work Life Balance,626,--,55
Khazana Jewellery,3.9,Skill Development / Learning,626,25,64
NRB Bearings,4.1,"Work Life Balance, Job Security, Work Satisfaction",625,2,50
3M,4.0,"Company Culture, Work Life Balance, Salary & Benefits",625,101,40
Shalby Hospitals,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",640,74,86
ANAROCK Property Consultants,3.6,"Promotions / Appraisal, Work Satisfaction, Job Security",626,61,62
NoBrokerHood,2.8,"Job Security, Work Satisfaction, Company Culture",625,7,66
Welspun Corp,4.0,"Skill Development / Learning, Company Culture",625,--,33
Crowne Plaza,4.1,"Job Security, Company Culture, Skill Development / Learning",624,--,22
InternEzy,4.9,"Company Culture, Work Life Balance, Work Satisfaction",624,--,76
Mount Litera Zee School,3.7,"Promotions / Appraisal, Salary & Benefits, Job Security",624,21,40
Electrotherm,4.2,"Job Security, Work Life Balance, Work Satisfaction",624,3,40
MAQ Software,3.3,"Company Culture, Work Life Balance, Work Satisfaction",622,--,174
Corporate Infotech,3.7,"Promotions / Appraisal, Salary & Benefits",622,6,83
Karvy Stock Broking,3.6,"Promotions / Appraisal, Work Life Balance, Company Culture",622,--,9
Me n Moms,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",621,--,142
Surin Automotive,3.8,"Salary & Benefits, Job Security",622,--,51
bp,3.7,"Work Life Balance, Salary & Benefits",620,18,85
B.L. Kashyap & Sons,3.8,"Job Security, Work Life Balance",621,15,65
