name,rating,rating_values,reviews,jobs,interviews
Lupin,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",7.2k,41,440
L&T Construction,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",7.2k,--,944
Ekart Logistics,3.9,Skill Development / Learning,7.2k,1,406
Zydus Lifesciences,3.9,"Salary & Benefits, Skill Development / Learning",7.2k,27,420
Hindustan Unilever,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",7.1k,47,463
KPMG India,3.4,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",7k,94,919
ITC,3.9,"Job Security, Skill Development / Learning",7k,83,686
Axis Max Life Insurance,4.0,"Company Culture, Skill Development / Learning, Work Life Balance",7k,183,403
Megha Engineering & Infrastructures,3.9,Promotions / Appraisal,6.8k,36,563
Tata Projects,4.2,"Salary & Benefits, Company Culture, Work Life Balance",6.7k,28,588
Coforge,3.3,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",6.6k,150,703
Bajaj Life Insurance,3.8,Salary & Benefits,6.4k,64,442
FIS,3.8,"Work Life Balance, Company Culture",6.4k,151,532
L&T Technology Services,3.1,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.4k,--,627
Cholamandalam Investment & Finance,3.8,Salary & Benefits,6.4k,22,281
Oracle,3.5,Work Life Balance,6.2k,880,947
IIFL Finance,4.0,"Work Life Balance, Company Culture, Job Security",6.2k,66,324
Muthoot Finance,3.7,"Promotions / Appraisal, Work Satisfaction",6.2k,95,346
Omega Healthcare,3.8,"Promotions / Appraisal, Salary & Benefits",6.2k,152,546
JLL,4.1,"Job Security, Company Culture, Work Life Balance",6.2k,328,480
Indian Army,4.7,"Job Security, Company Culture, Work Satisfaction",6.2k,--,204
eClerx,3.1,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.1k,198,629
HCL Group,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.1k,--,515
Piramal Finance,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",6k,6,293
DMart,3.9,"Job Security, Company Culture",6k,242,545
Virtusa Consulting Services,3.7,"Promotions / Appraisal, Job Security, Salary & Benefits",6k,1.1k,668
Indiamart Intermesh,3.5,"Work Satisfaction, Promotions / Appraisal, Company Culture",5.8k,540,748
HSBC Group,3.9,"Work Life Balance, Job Security, Company Culture",5.8k,130,546
SMFG India Credit,3.9,Salary & Benefits,5.8k,88,208
Aurobindo Pharma,4.0,"Job Security, Salary & Benefits, Work Life Balance",5.7k,25,288
PolicyBazaar,3.7,Salary & Benefits,5.7k,515,623
Access Healthcare,3.7,Job Security,5.7k,729,394
Siemens,3.9,"Work Life Balance, Company Culture, Job Security",5.7k,41,504
Udaan,3.9,"Salary & Benefits, Skill Development / Learning",5.7k,8,373
BigBasket,3.9,"Job Security, Skill Development / Learning",5.7k,98,479
Manappuram Finance,3.9,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",5.6k,5,220
ICICI Lombard General Insurance Company,3.5,"Promotions / Appraisal, Work Satisfaction, Company Culture",5.6k,246,354
Firstsource Solutions,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.6k,140,360
Tata Capital,4.0,"Job Security, Company Culture, Work Life Balance",5.6k,3.9k,268
